kto?,wer
co?,was
ile?,wie viel
jak dużo?,wie viel
gdzie?,wo
kiedy?,wann
dlaczego?,warum
który?,welcher
która?,welche
które?,welches
Kto stoi za rogiem?,Wer steht hinter der Ecke
Kto może mu pomóc?,Wer kann ihm helfen
Co chcesz zobaczyć w Berlinie?,Was möchtest du in Berlin sehen
Co kupujesz jej na urodziny?,Was kaufst du ihr zum Geburtstag
Ile kosztuje ta spódnica?,Wie viel kostet dieser Rock
Ile pieniędzy chcesz pożyczyć?,Wie viel Geld willst du leihen
Gdzie znalazłaś tę książkę?,Wo hast du dieses Buch gefunden
Gdzie mieszkasz w Paryżu?,Wo wohnst du in Paris
Kiedy przyjedziesz w odwiedziny?,Wann kommst du zu Besuch
Kiedy możemy się spotkać?,Wann können wir uns treffen
Dlaczego jesteś taka uparta?,Warum bist du so stur
Dlaczego jesteś w złym nastroju?,Warum hast du schlechte Laune